source_text,translated_text,context
# ========================
# DocType Names
# ========================
VL Night Audit,مراجعة ليلية,
VL Folio,ملف الحساب,
VL Folio Charge,رسوم الحساب,
VL Check In,تسجيل الوصول,
VL Check Out,تسجيل المغادرة,
VL Guest,الضيف,
VL Room,الغرفة,
VL Room Block,حجب الغرفة,
VL Room Status Log,سجل حالة الغرفة,
VL Reservation,الحجز,
VL Group Booking,حجز جماعي,
VL Rate Plan,خطة الأسعار,
VL Cancellation Policy,سياسة الإلغاء,
VL HK Task,مهمة التدبير المنزلي,
VL HK Assignment,تعيين التدبير المنزلي,
VL Lost and Found,المفقودات والموجودات,
VL Service Request,طلب خدمة,
VL Guest Feedback,ملاحظات الضيف,
VL Wake Up Call,مكالمة إيقاظ,
VL Event Booking,حجز فعالية,
VL Event Venue,قاعة الفعاليات,
VL Spa Service,خدمة السبا,
VL Spa Booking,حجز السبا,
VL Maintenance Request,طلب صيانة,
VL Preventive Schedule,جدول الصيانة الوقائية,
VL Minibar Item,صنف الميني بار,
VL Minibar Consumption,استهلاك الميني بار,
VL Restaurant,المطعم,
VL Loyalty Program,برنامج الولاء,
VL Loyalty Transaction,معاملة الولاء,
VL Revenue Budget,ميزانية الإيرادات,
VL Property,العقار,
VL Settings,الإعدادات,
VL Room Type,نوع الغرفة,
VL Room Type Amenity,مرفق نوع الغرفة,
VL Floor,الطابق,
VL Wing,الجناح,
VL Amenity,المرفق,
VL Bed Type,نوع السرير,
VL Season,الموسم,
# ========================
# Module Names
# ========================
Velara,فيلارا,
Velara Setup,إعداد فيلارا,
Velara Rooms,غرف فيلارا,
Velara Reservations,حجوزات فيلارا,
Velara Front Desk,الاستقبال فيلارا,
Velara Housekeeping,التدبير المنزلي فيلارا,
Velara Food and Beverage,الأغذية والمشروبات فيلارا,
Velara Revenue,الإيرادات فيلارا,
Velara Guest Services,خدمات الضيوف فيلارا,
Velara Events,الفعاليات فيلارا,
Velara Maintenance,الصيانة فيلارا,
Velara Loyalty,الولاء فيلارا,
Velara Night Audit,المراجعة الليلية فيلارا,
Velara Spa,السبا فيلارا,
Velara Reports,تقارير فيلارا,
# ========================
# Role Names
# ========================
Velara Admin,مدير فيلارا,
Velara General Manager,المدير العام فيلارا,
Velara Front Desk Manager,مدير الاستقبال,
Velara Front Desk Agent,موظف الاستقبال,
Velara Housekeeping Manager,مدير التدبير المنزلي,
Velara Housekeeper,عامل التدبير المنزلي,
Velara Revenue Manager,مدير الإيرادات,
Velara FnB Manager,مدير الأغذية والمشروبات,
Velara Concierge,خدمة الكونسيرج,
Velara Maintenance Tech,فني الصيانة,
Velara Events Coordinator,منسق الفعاليات,
Velara Spa Manager,مدير السبا,
Velara Night Auditor,المدقق الليلي,
Velara Viewer,مشاهد فيلارا,
# ========================
# Statuses - Reservation
# ========================
Draft,مسودة,
Confirmed,مؤكد,
Checked In,تم تسجيل الوصول,
Checked Out,تم تسجيل المغادرة,
Cancelled,ملغي,
No Show,لم يحضر,
Waitlist,قائمة الانتظار,
Tentative,مبدئي,
Guaranteed,مضمون,
# ========================
# Statuses - Room
# ========================
Available,متاح,
Occupied,مشغول,
Reserved,محجوز,
Blocked,محجوب,
Out of Order,خارج الخدمة,
Out of Service,خارج الاستخدام,
# ========================
# Statuses - Housekeeping
# ========================
Clean,نظيف,
Dirty,متسخ,
Inspected,تم الفحص,
Pickup,التقاط,
# ========================
# Statuses - Front Office
# ========================
Vacant,شاغر,
Due Out,مغادرة متوقعة,
# ========================
# Statuses - Folio
# ========================
Open,مفتوح,
Settled,تمت التسوية,
Closed,مغلق,
Void,ملغي,
# ========================
# Statuses - General
# ========================
Pending,معلّق,
In Progress,قيد التنفيذ,
Completed,مكتمل,
Assigned,معيّن,
Inspecting,قيد الفحص,
Resolved,تم الحل,
Active,نشط,
Expired,منتهي الصلاحية,
Suspended,معلّق,
Posted,مرحّل,
Approved,موافق عليه,
Rejected,مرفوض,
On Hold,في الانتظار,
Partially Paid,مدفوع جزئياً,
Paid,مدفوع,
# ========================
# Statuses - Event Booking
# ========================
Inquiry,استفسار,
# ========================
